No.	🇯🇵	🇺🇸	🇩🇪	🇫🇷	🇰🇷	🇨🇳	🇹🇼
1	フシギダネ	Bulbasaur	Bisasam	Bulbizarre	이상해씨	妙蛙种子	妙蛙種子
2	フシギソウ	Ivysaur	Bisaknosp	Herbizarre	이상해풀	妙蛙草	妙蛙草
3	フシギバナ	Venusaur	Bisaflor	Florizarre	이상해꽃	妙蛙花	妙蛙花
4	ヒトカゲ	Charmander	Glumanda	Salameche	파이리	小火龙	小火龍
5	リザード	Charmeleon	Glutexo	Reptincel	리자드	火恐龙	火恐龍
6	リザードン	Charizard	Glurak	Dracaufeu	리자몽	喷火龙	噴火龍
7	ゼニガメ	Squirtle	Schiggy	Carapuce	꼬부기	杰尼龟	傑尼龜
8	カメール	Wartortle	Schillok	Carabaffe	어니부기	卡咪龟	卡咪龜
9	カメックス	Blastoise	Turtok	Tortank	거북왕	水箭龟	水箭龜
10	キャタピー	Caterpie	Raupy	Chenipan	캐터피	绿毛虫	綠毛蟲
11	トランセル	Metapod	Safcon	Chrysacier	단데기	铁甲蛹	鐵甲蛹
12	バタフリー	Butterfree	Smettbo	Papilusion	버터플	巴大蝶	巴大蝶
13	ビードル	Weedle	Hornliu	Aspicot	뿔충이	独角虫	獨角蟲
14	コクーン	Kakuna	Kokuna	Coconfort	딱충이	铁壳蛹	鐵殼蛹
15	スピアー	Beedrill	Bibor	Dardagnan	독침붕	大针蜂	大針蜂
16	ポッポ	Pidgey	Taubsi	Roucool	구구	波波	波波
17	ピジョン	Pidgeotto	Tauboga	Roucoups	피죤	比比鸟	比比鳥
18	ピジョット	Pidgeot	Tauboss	Roucarnage	피죤투	大比鸟	大比鳥
19	コラッタ	Rattata	Rattfratz	Rattata	꼬렛	小拉达	小拉達
20	ラッタ	Raticate	Rattikarl	Rattatac	레트라	拉达	拉達
21	オニスズメ	Spearow	Habitak	Piafabec	깨비참	烈雀	烈雀
22	オニドリル	Fearow	Ibitak	Rapasdepic	깨비드릴조	大嘴雀	大嘴雀
23	アーボ	Ekans	Rettan	Abo	아보	阿柏蛇	阿柏蛇
24	アーボック	Arbok	Arbok	Arbok	아보크	阿柏怪	阿柏怪
25	ピカチュウ	Pikachu	Pikachu	Pikachu	피카츄	皮卡丘	皮卡丘
26	ライチュウ	Raichu	Raichu	Raichu	라이츄	雷丘	雷丘
27	サンド	Sandshrew	Sandan	Sabelette	모래두지	穿山鼠	穿山鼠
28	サンドパン	Sandslash	Sandamer	Sablaireau	고지	穿山王	穿山王
29	ニドラン♀	Nidoran♀	Nidoran♀	Nidoran♀	니드런♀	尼多兰	尼多蘭
30	ニドリーナ	Nidorina	Nidorina	Nidorina	니드리나	尼多娜	尼多娜
31	ニドクイン	Nidoqueen	Nidoqueen	Nidoqueen	니드퀸	尼多后	尼多后
32	ニドラン♂	Nidoran♂	Nidoran♂	Nidoran♂	니드런♂	尼多朗	尼多朗
33	ニドリーノ	Nidorino	Nidorino	Nidorino	니드리노	尼多力诺	尼多力諾
34	ニドキング	Nidoking	Nidoking	Nidoking	니드킹	尼多王	尼多王
35	ピッピ	Clefairy	Piepi	Melofee	삐삐	皮皮	皮皮
36	ピクシー	Clefable	Pixi	Melodelfe	픽시	皮可西	皮可西
37	ロコン	Vulpix	Vulpix	Goupix	식스테일	六尾	六尾
38	キュウコン	Ninetales	Vulnona	Feunard	나인테일	九尾	九尾
39	プリン	Jigglypuff	Pummeluff	Rondoudou	푸린	胖丁	胖丁
40	プクリン	Wigglytuff	Knuddeluff	Grodoudou	푸크린	胖可丁	胖可丁
41	ズバット	Zubat	Zubat	Nosferapti	주뱃	超音蝠	超音蝠
42	ゴルバット	Golbat	Golbat	Nosferalto	골뱃	大嘴蝠	大嘴蝠
43	ナゾノクサ	Oddish	Myrapla	Mystherbe	뚜벅쵸	走路草	走路草
44	クサイハナ	Gloom	Duflor	Ortide	냄새꼬	臭臭花	臭臭花
45	ラフレシア	Vileplume	Giflor	Rafflesia	라플레시아	霸王花	霸王花
